Johann Wolfgang Goethe, Cierpienia młodego Wertera; 2 0 2Johann Wolfgang Goethe, Cierpienia młodego Wertera; 2 0 2Johann Wolfgang Goethe, Cierpienia młodego Wertera; 2 0 2
George Byron, Giaur; 1 0 1
Adam Mickiewicz, Dziady cz. IV; 3 0 3
Maria Konopnicka, wybor wierszy; 4 0 4
Eliza Orzeszkowa, Nad Niemnem; 1 0 1
Adam Mickiewicz, Oda do mlodosci; 1 0 1
Adam Mickiewicz, Konrad Wallenrod; 2 0 2
Juliusz Slowacki, Kordian; 1 0 0
Zygmunt Krasinski, Nie-Boska komedia; 5 0 5
Henryk Sienkiewicz, Potop; 2 0 2
Boleslaw Prus, Lalka; 5 0 5
Eliza Orzeszkowa, Gloria victis; 2 0 2
Fiodor Dostojewski, Zbrodnia i kara; 1 0 1
Stanislaw Wyspianski, Wesele; 1 1 1
Wladysław Stanislaw Reymont, Chlopi; 2 0 2
Stefan Zeromski, Przedwiosnie; 1 0 1
Witold Gombrowicz, Ferdydurke; 2 0 2
Boleslaw Tadeusz Borowski, Prosze panstwa do gazu; 3 0 3
Gustaw Herling-Grudzinski, Inny swiat; 4 0 4
Hanna Krall, Zdazyc przed Panem Bogiem; 1 0 1
